product_name,product_url_image,product_price,product_stock,product_volume,product_weight
Baby Buncis 250gr,https://storage.googleapis.com/indo-astro/Baby_Buncis_250gr_1650351757533_PRODUCT_240x240.png,11800,3,1000,250
Brokoli Besar,https://storage.googleapis.com/indo-astro/Brokoli_Besar_1650352169435_PRODUCT_240x240.png,24900,1,1000,500
Buncis Super 250gr,https://storage.googleapis.com/indo-astro/Buncis_Super_250gr_1650352460114_PRODUCT_240x240.png,6700,5,1000,250
Jagung Acar 250gr,https://storage.googleapis.com/indo-astro/Jagung_Acar_250gr_1650353361768_PRODUCT_240x240.png,8500,10,600,250
Jamur Kuping 250gr,https://storage.googleapis.com/indo-astro/Jamur_Kuping_250gr_1650354516628_PRODUCT_240x240.png,8900,1,2415,200
Kacang Edamame 1kg,https://storage.googleapis.com/indo-astro/Kacang_Edamame_1kg_240x240.png,26900,2,1000,1000
Kacang Panjang 250gr,https://storage.googleapis.com/indo-astro/Kacang_Panjang_250gr_1650361107664_PRODUCT_240x240.png,6700,6,2756,250
Kentang Dieng Conventional 1kg,https://storage.googleapis.com/indo-astro/Kentang_Dieng_Conventional_1kg_240x240.png,21900,3,1000,1000
Kol Putih Conventional 500gr,https://storage.googleapis.com/indo-astro/Kol_Putih_Conventional_500gr_1650361329373_PRODUCT_240x240.png,9500,9,308,500
Labu Siam 1 Pack,https://storage.googleapis.com/indo-astro/Labu_Siam_500gr_1650361422169_PRODUCT_240x240.png,5800,2,264,500
Paprika Merah 1 pcs,https://storage.googleapis.com/indo-astro/Paprika_Merah_1_pcs_1650361612195_PRODUCT_240x240.png,22700,2,1000,220
Pete Kupas Fresh 100gr,https://storage.googleapis.com/indo-astro/Pete_Kupas_Fresh_100gr_1647496583786_PRODUCT_240x240.png,29500,5,308,100
Sawi Putih 1 pcs,https://storage.googleapis.com/indo-astro/Sawi_Putih_1_pcs_1650363218307_PRODUCT_240x240.png,11100,8,1000,500
Sereh 100gr,https://storage.googleapis.com/indo-astro/Sereh_100gr_1650363339809_PRODUCT_240x240.png,2900,17,1280,100
Terong Ungu 500gr,https://storage.googleapis.com/indo-astro/Terong_Ungu_500gr_1650363556122_PRODUCT_240x240.png,10800,10,308,500
Timun Fresh 500gr,https://storage.googleapis.com/indo-astro/Timun_Fresh_500gr_240x240.png,7300,2,308,500
Timun Jepang 500gr,https://storage.googleapis.com/indo-astro/Timun_Jepang_500gr_1650363593303_PRODUCT_240x240.png,12600,3,264,500
Tomat Cherry 250gr,https://storage.googleapis.com/indo-astro/Tomat_Cherry_250gr_PRODUCT_1645180417369_240x240.png,14300,2,308,250
Tomat Merah Conventional 500gr,https://storage.googleapis.com/indo-astro/Tomat_Merah_Conventional_500gr_1650363661507_PRODUCT_240x240.png,13300,6,308,500
Daun Bawang/Scallion 250gr,https://storage.googleapis.com/indo-astro/Daun_Bawang_Scallion_250gr_1650353087383_PRODUCT_240x240.png,7900,18,6000,250
Jagung Manis Kupas 2 pcs,https://storage.googleapis.com/indo-astro/Jagung_Manis_Kupas_2_pcs_1651025438049_PRODUCT_240x240.png,9700,2,308,500
IP Farm Ubi Cilembu 1kg,https://storage.googleapis.com/indo-astro/IP_Farm_Ubi_Cilembu_1kg_1659058823200_PRODUCT_240x240.png,29900,6,2400,1000
IP Farm Ubi Ungu 1kg,https://storage.googleapis.com/indo-astro/IP_Farm_Ubi_Ungu_1kg_1659365355495_PRODUCT_240x240.png,28900,1,2400,1000
Labu Siam Acar 250gr,https://storage.googleapis.com/indo-astro/Labu_Siam_Acar_250gr_1658910310901_PRODUCT_240x240.png,4900,4,1000,250
Astro Farm Curly Iceberg Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Curly_Iceberg_Hydroponic_200gr_1658805088529_PRODUCT_240x240.png,15500,2,264,200
Jengkol Matang 250gr,https://storage.googleapis.com/indo-astro/Jengkol_Matang_250gr_1658384354158_PRODUCT_240x240.png,25500,5,1500,250
Kabocha Orange 1 pcs,https://storage.googleapis.com/indo-astro/Kabocha_Orange_1_Pcs_1656821297098_PRODUCT_240x240.png,26700,18,990,1000
Kabocha Hijau 1 pcs,https://storage.googleapis.com/indo-astro/Kabocha_Hijau_1_Pcs_1656821316807_PRODUCT_240x240.png,28500,19,990,1000
Butternut 1 Pcs,https://storage.googleapis.com/indo-astro/Butternut_1_Pcs_1656838751405_PRODUCT_240x240.png,31300,5,1980,1000
Baby Kailan 250gr,https://storage.googleapis.com/indo-astro/Asto_Farm_Baby_Kailan_250gr_1656900800386_PRODUCT_240x240.png,9400,14,1000,250
Daun Pucuk Labu 250gr,https://storage.googleapis.com/indo-astro/Daun_Pucuk_Labu_250gr_1656899442822_PRODUCT_240x240.png,5300,3,2000,250
Tomat Beef 1kg,https://storage.googleapis.com/indo-astro/Tomat_Beef_1Kg_1655878448639_PRODUCT_240x240.png,32700,2,48,1000
Lokio 250gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Lokio_250gr_1654052888163_PRODUCT_240x240.png,7900,3,2400,250
Daun Pisang 1 Ikat,https://storage.googleapis.com/indo-astro/Daun_Pisang_1_Ikat_1653967133181_PRODUCT_240x240.png,6000,4,5760,400
Jamur Shimeji Putih 150gr,https://storage.googleapis.com/indo-astro/Jamur_Shimeji_Putih_150gr_1653451856976_PRODUCT_240x240.png,14500,7,1000,150
Kentang Rendang 500gr,https://storage.googleapis.com/indo-astro/Kentang_Rendang_500gr_1651216289920_PRODUCT_240x240.png,7600,3,1000,500
Cuciwis 250gr,https://storage.googleapis.com/indo-astro/Cuciwis_250gr_1650529264878_PRODUCT_240x240.png,7600,3,1000,250
Endive Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Endive_Hydroponic_200gr_1649948161773_PRODUCT_240x240.png,14700,1,1000,200
Daun Singkong Conventional 250gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Daun_Singkong_Conventional_250gr_1647487978547_PRODUCT_240x240.png,3800,3,1000,250
Farmer's Ubi Cilembu 1Kg,https://storage.googleapis.com/indo-astro/Ubi_Cilembu_1kg_PRODUCT_1646185640968_240x240.png,16600,2,1000,1000
Farmer's Ubi Merah 1Kg,https://storage.googleapis.com/indo-astro/Ubi_Merah_1kg_PRODUCT_1646185663920_240x240.png,15400,1,1000,1000
Farmer's Ubi Ungu 1Kg,https://storage.googleapis.com/indo-astro/Astro_Farm_Ubi_Ungu_1Kg_PRODUCT_240x240.png,15400,2,1000,1000
Lobak 500gr,https://storage.googleapis.com/indo-astro/Lobak_500gr_PRODUCT_240x240.png,7800,4,1000,500
Kentang Dadu 250gr,https://storage.googleapis.com/indo-astro/Kentang_Dadu_250gr_PRODUCT_240x240.png,12000,2,1000,250
Celery Stick 1 Pack,https://storage.googleapis.com/indo-astro/Celery_Stick_1_Pack_240x240.png,40000,11,1000,800
Farmer's Daun Rosemary 50gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Daun_Rosemary_50gr_PRODUCT_240x240.png,9200,2,1000,20
Daun Ketumbar/Wansui/Corriander Leaves 50gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Daun_Ketumbar_50gr_PRODUCT_240x240.png,5000,22,1000,50
Daun Kucai 100gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Daun_Kucai_100gr_1650361385028_PRODUCT_240x240.png,4900,1,1000,100
Jamur Enoki 100gr,https://storage.googleapis.com/indo-astro/Jamur_Enoki_100gr_240x240.png,5700,10,1000,100
Jamur Shimeji Coklat 150gr,https://storage.googleapis.com/indo-astro/Jamur_Shimeji_Coklat_150gr_240x240.png,14500,7,1000,150
Jamur Shitake 200gr,https://storage.googleapis.com/indo-astro/Jamur_Shitake_200gr_1650355609017_PRODUCT_240x240.png,25000,5,1000,200
Jamur Champignon 250gr,https://storage.googleapis.com/indo-astro/Jamur_Champignon_250gr_240x240.png,17500,21,1000,250
Daun Seledri 250gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Daun_Seledri_250gr_PRODUCT_240x240.png,9900,0,7000,250
Jamur Tiram 300gr,https://storage.googleapis.com/indo-astro/Jamur_Tiram_300gr_1650357859658_PRODUCT_240x240.png,8900,0,1000,300
Kembang Kol 1 pcs,https://storage.googleapis.com/indo-astro/Kembang_Kol_1_pcs_1650361235811_PRODUCT_240x240.png,19800,0,6000,500
Paprika Hijau 1 pcs,https://storage.googleapis.com/indo-astro/Paprika_Hijau_1_pcs_1650361629443_PRODUCT_240x240.png,13900,0,1000,220
Wortel Berastagi Conventional 1kg,https://storage.googleapis.com/indo-astro/Wortel_Berastagi_Conventional_1kg_1650363702052_PRODUCT_240x240.png,16750,0,1000,1000
IP Farm Ubi Jepang (Satsumaimo) 1kg,https://storage.googleapis.com/indo-astro/IP_Farm_Ubi_Jepang_(Satsumaimo)_1kg_1659109584463_PRODUCT_240x240.png,28900,0,2400,1000
Tomat Hijau 250gr,https://storage.googleapis.com/indo-astro/Tomat_Hijau_250gr_1657695045448_PRODUCT_240x240.png,6000,0,1014,250
Terong Hijau Lalap 250gr,https://storage.googleapis.com/indo-astro/Terong_Hijau_Lalap_250gr_1654482471023_PRODUCT_240x240.png,5900,0,2640,250
Pare 500gr,https://storage.googleapis.com/indo-astro/Pare_500gr_1654482353540_PRODUCT_240x240.png,11200,0,4500,500
Daun Pandan 50gr,https://storage.googleapis.com/indo-astro/Daun_Pandan_50gr_1651135118558_PRODUCT_240x240.png,2000,0,1000,50
Zukini 500gr,https://storage.googleapis.com/indo-astro/Zukini_500gr_1651119798188_PRODUCT_240x240.png,12500,0,1000,500